Time spent on page,Average mouse speed,Average time spent on fields,Average interval between fields,Average mouse angle change,Average variance of x-axis clicks,Jitter count,Tremors count,Backspace count,Repeated key count,isHuman
1.81,222.67,0.11,0.11,23.08,186014.0,1.0,0.0,0.0,0.0,FALSE
1.64,281.53,0.2,0.24,77.07,51345.0,1.0,0.0,0.0,0.0,FALSE
2.65,894.41,0.09,0.16,68.66,254610.0,1.0,0.0,0.0,0.0,FALSE
2.62,675.15,0.13,0.19,129.79,147882.0,1.0,0.0,0.0,0.0,FALSE
2.46,848.58,0.2,0.21,97.67,388749.0,1.0,0.0,0.0,0.0,FALSE
2.04,342.52,0.22,0.23,129.46,79535.0,1.0,0.0,0.0,0.0,FALSE
1.96,363.15,0.13,0.12,175.38,231631.0,1.0,0.0,0.0,0.0,FALSE
2.1,304.34,0.13,0.18,152.12,161118.0,1.0,0.0,0.0,0.0,FALSE
2.5,736.96,0.21,0.17,5.05,216042.0,1.0,0.0,0.0,0.0,FALSE
2.1,995.93,0.18,0.15,98.72,144158.0,1.0,0.0,0.0,0.0,FALSE
2.4,937.68,0.19,0.14,98.43,133301.0,1.0,0.0,0.0,0.0,FALSE
1.78,925.79,0.22,0.12,12.5,294518.0,1.0,0.0,0.0,0.0,FALSE
2.42,646.18,0.18,0.13,149.11,115729.0,1.0,0.0,0.0,0.0,FALSE
1.77,863.39,0.16,0.08,72.12,441970.0,1.0,0.0,0.0,0.0,FALSE
1.64,843.15,0.11,0.16,15.03,172720.0,1.0,0.0,0.0,0.0,FALSE
2.13,295.92,0.22,0.18,47.24,411424.0,1.0,0.0,0.0,0.0,FALSE
1.96,327.8,0.07,0.08,25.94,414341.0,1.0,0.0,0.0,0.0,FALSE
2.4,217.61,0.1,0.15,7.89,253949.0,1.0,0.0,0.0,0.0,FALSE
2.33,591.06,0.13,0.12,110.7,374913.0,1.0,0.0,0.0,0.0,FALSE
2.58,430.19,0.24,0.09,82.28,341529.0,1.0,0.0,0.0,0.0,FALSE
1.77,871.13,0.15,0.24,33.49,323437.0,1.0,0.0,0.0,0.0,FALSE
2.48,466.83,0.1,0.19,158.78,7773.0,1.0,0.0,0.0,0.0,FALSE
2.04,456.25,0.07,0.11,29.12,84864.0,1.0,0.0,0.0,0.0,FALSE
1.53,926.84,0.2,0.15,146.03,142279.0,1.0,0.0,0.0,0.0,FALSE
1.63,227.0,0.16,0.23,133.62,479183.0,1.0,0.0,0.0,0.0,FALSE
2.21,612.83,0.19,0.21,39.66,424754.0,1.0,0.0,0.0,0.0,FALSE
2.69,286.04,0.23,0.08,97.76,391900.0,1.0,0.0,0.0,0.0,FALSE
2.21,534.12,0.14,0.23,108.37,389841.0,1.0,0.0,0.0,0.0,FALSE
1.74,739.3,0.19,0.24,90.17,352301.0,1.0,0.0,0.0,0.0,FALSE
2.09,373.56,0.11,0.12,102.66,425618.0,1.0,0.0,0.0,0.0,FALSE
1.66,479.83,0.23,0.13,43.31,3043.0,1.0,0.0,0.0,0.0,FALSE
2.01,853.42,0.1,0.21,124.81,232415.0,1.0,0.0,0.0,0.0,FALSE
2.03,814.28,0.18,0.19,44.74,85098.0,1.0,0.0,0.0,0.0,FALSE
1.85,268.25,0.17,0.21,172.33,396605.0,1.0,0.0,0.0,0.0,FALSE
1.8,633.45,0.14,0.11,142.78,127293.0,1.0,0.0,0.0,0.0,FALSE
1.89,820.95,0.21,0.13,14.19,325079.0,1.0,0.0,0.0,0.0,FALSE
1.96,319.71,0.23,0.14,96.72,188618.0,1.0,0.0,0.0,0.0,FALSE
1.54,513.84,0.14,0.23,42.82,240492.0,1.0,0.0,0.0,0.0,FALSE
2.39,472.65,0.19,0.23,24.88,201484.0,1.0,0.0,0.0,0.0,FALSE
2.08,400.38,0.18,0.08,50.42,137697.0,1.0,0.0,0.0,0.0,FALSE
2.09,196.35,0.17,0.13,163.58,433430.0,1.0,0.0,0.0,0.0,FALSE
1.98,989.13,0.14,0.2,119.18,342024.0,1.0,0.0,0.0,0.0,FALSE
2.16,114.51,0.13,0.2,112.85,30948.0,1.0,0.0,0.0,0.0,FALSE
2.63,220.44,0.12,0.2,32.45,395852.0,1.0,0.0,0.0,0.0,FALSE
2.42,929.24,0.09,0.17,65.4,437308.0,1.0,0.0,0.0,0.0,FALSE
1.78,830.33,0.15,0.16,88.09,81066.0,1.0,0.0,0.0,0.0,FALSE
1.72,262.66,0.18,0.13,1.66,349221.0,1.0,0.0,0.0,0.0,FALSE
1.99,619.59,0.17,0.08,79.21,121692.0,1.0,0.0,0.0,0.0,FALSE
1.66,347.4,0.2,0.09,106.44,346421.0,1.0,0.0,0.0,0.0,FALSE
1.61,547.62,0.11,0.2,115.76,29846.0,1.0,0.0,0.0,0.0,FALSE
2.22,332.92,0.11,0.13,41.44,357582.0,1.0,0.0,0.0,0.0,FALSE
2.64,362.17,0.1,0.25,95.74,317938.0,1.0,0.0,0.0,0.0,FALSE
2.25,792.74,0.23,0.25,123.99,468882.0,1.0,0.0,0.0,0.0,FALSE
1.78,570.62,0.17,0.13,56.54,142425.0,1.0,0.0,0.0,0.0,FALSE
2.0,875.58,0.15,0.13,41.51,35151.0,1.0,0.0,0.0,0.0,FALSE
2.6,743.62,0.15,0.21,152.2,284649.0,1.0,0.0,0.0,0.0,FALSE
1.94,978.59,0.2,0.2,92.91,352514.0,1.0,0.0,0.0,0.0,FALSE
1.97,180.99,0.12,0.11,22.67,61578.0,1.0,0.0,0.0,0.0,FALSE
2.37,469.21,0.18,0.09,148.39,413560.0,1.0,0.0,0.0,0.0,FALSE
2.19,304.44,0.17,0.2,171.08,475073.0,1.0,0.0,0.0,0.0,FALSE
2.01,538.68,0.09,0.14,31.15,124234.0,1.0,0.0,0.0,0.0,FALSE
1.86,212.45,0.1,0.07,176.29,189565.0,1.0,0.0,0.0,0.0,FALSE
2.49,190.78,0.18,0.24,143.58,9684.0,1.0,0.0,0.0,0.0,FALSE
1.95,746.71,0.12,0.07,25.54,485490.0,1.0,0.0,0.0,0.0,FALSE
1.67,758.46,0.14,0.14,97.09,324780.0,1.0,0.0,0.0,0.0,FALSE
1.89,162.36,0.24,0.21,4.04,461240.0,1.0,0.0,0.0,0.0,FALSE
2.02,806.32,0.16,0.11,73.09,428206.0,1.0,0.0,0.0,0.0,FALSE
2.31,815.38,0.17,0.17,76.39,384869.0,1.0,0.0,0.0,0.0,FALSE
1.65,743.6,0.13,0.23,112.7,63000.0,1.0,0.0,0.0,0.0,FALSE
2.54,314.24,0.1,0.21,152.9,3221.0,1.0,0.0,0.0,0.0,FALSE
1.6,493.86,0.16,0.22,147.45,371297.0,1.0,0.0,0.0,0.0,FALSE
2.26,242.78,0.14,0.13,4.23,247879.0,1.0,0.0,0.0,0.0,FALSE
1.88,265.79,0.08,0.17,101.57,469640.0,1.0,0.0,0.0,0.0,FALSE
2.25,777.87,0.23,0.2,168.04,151824.0,1.0,0.0,0.0,0.0,FALSE
2.17,786.35,0.11,0.12,111.9,433549.0,1.0,0.0,0.0,0.0,FALSE
1.63,133.81,0.1,0.1,127.75,220046.0,1.0,0.0,0.0,0.0,FALSE
1.94,639.15,0.2,0.2,32.7,126238.0,1.0,0.0,0.0,0.0,FALSE
2.51,505.25,0.14,0.2,175.17,177584.0,1.0,0.0,0.0,0.0,FALSE
2.5,368.82,0.12,0.16,68.72,262177.0,1.0,0.0,0.0,0.0,FALSE
1.74,699.39,0.13,0.2,55.06,66486.0,1.0,0.0,0.0,0.0,FALSE
1.52,947.41,0.16,0.11,95.09,461000.0,1.0,0.0,0.0,0.0,FALSE
1.82,488.05,0.11,0.1,61.34,380615.0,1.0,0.0,0.0,0.0,FALSE
2.56,601.67,0.09,0.1,175.2,6637.0,1.0,0.0,0.0,0.0,FALSE
2.64,796.95,0.13,0.07,33.31,102796.0,1.0,0.0,0.0,0.0,FALSE
1.95,831.47,0.23,0.17,15.97,458674.0,1.0,0.0,0.0,0.0,FALSE
1.99,102.53,0.1,0.13,170.22,191216.0,1.0,0.0,0.0,0.0,FALSE
1.66,898.75,0.08,0.14,35.44,128841.0,1.0,0.0,0.0,0.0,FALSE
2.43,435.19,0.24,0.2,166.64,89179.0,1.0,0.0,0.0,0.0,FALSE
1.99,943.4,0.18,0.2,146.56,298149.0,1.0,0.0,0.0,0.0,FALSE
2.07,143.19,0.17,0.19,44.85,116186.0,1.0,0.0,0.0,0.0,FALSE
2.36,590.47,0.21,0.12,165.12,225336.0,1.0,0.0,0.0,0.0,FALSE
2.06,332.66,0.19,0.16,127.6,416517.0,1.0,0.0,0.0,0.0,FALSE
2.39,467.65,0.24,0.21,146.66,432334.0,1.0,0.0,0.0,0.0,FALSE
1.53,288.55,0.08,0.19,160.9,106313.0,1.0,0.0,0.0,0.0,FALSE
1.72,369.04,0.16,0.24,1.47,62743.0,1.0,0.0,0.0,0.0,FALSE
2.44,198.11,0.1,0.07,49.41,177376.0,1.0,0.0,0.0,0.0,FALSE
2.05,328.31,0.08,0.08,57.37,234872.0,1.0,0.0,0.0,0.0,FALSE
1.51,229.82,0.21,0.25,65.01,67371.0,1.0,0.0,0.0,0.0,FALSE
2.18,509.28,0.19,0.21,61.93,142666.0,1.0,0.0,0.0,0.0,FALSE
1.96,617.39,0.15,0.21,165.94,27644.0,1.0,0.0,0.0,0.0,FALSE
2.05,388.33,0.12,0.22,89.59,54933.0,1.0,0.0,0.0,0.0,FALSE
2.33,225.26,0.22,0.13,137.8,315242.0,1.0,0.0,0.0,0.0,FALSE
2.33,441.03,0.14,0.22,86.27,376562.0,1.0,0.0,0.0,0.0,FALSE
2.37,115.59,0.15,0.15,143.02,195060.0,1.0,0.0,0.0,0.0,FALSE
2.49,225.35,0.08,0.17,115.98,188330.0,1.0,0.0,0.0,0.0,FALSE
2.04,175.39,0.18,0.24,137.22,353985.0,1.0,0.0,0.0,0.0,FALSE
2.05,384.85,0.22,0.24,45.67,223633.0,1.0,0.0,0.0,0.0,FALSE
2.07,197.02,0.25,0.24,36.66,321403.0,1.0,0.0,0.0,0.0,FALSE
1.51,513.74,0.18,0.23,21.15,93303.0,1.0,0.0,0.0,0.0,FALSE
2.46,604.49,0.24,0.1,13.26,247990.0,1.0,0.0,0.0,0.0,FALSE
2.56,570.0,0.14,0.16,128.56,276739.0,1.0,0.0,0.0,0.0,FALSE
1.58,161.86,0.11,0.14,48.34,303197.0,1.0,0.0,0.0,0.0,FALSE
1.96,154.41,0.1,0.15,158.73,370368.0,1.0,0.0,0.0,0.0,FALSE
2.0,148.02,0.25,0.22,126.81,264225.0,1.0,0.0,0.0,0.0,FALSE
2.16,932.78,0.11,0.1,122.3,326616.0,1.0,0.0,0.0,0.0,FALSE
2.28,469.4,0.14,0.25,15.36,181075.0,1.0,0.0,0.0,0.0,FALSE
2.63,571.31,0.18,0.23,122.88,83757.0,1.0,0.0,0.0,0.0,FALSE
2.14,423.66,0.09,0.08,153.31,427273.0,1.0,0.0,0.0,0.0,FALSE
2.33,364.44,0.14,0.23,4.19,421498.0,1.0,0.0,0.0,0.0,FALSE
2.61,582.65,0.2,0.1,129.35,484508.0,1.0,0.0,0.0,0.0,FALSE
2.16,470.36,0.22,0.15,83.54,487566.0,1.0,0.0,0.0,0.0,FALSE
1.92,448.73,0.08,0.08,102.18,159017.0,1.0,0.0,0.0,0.0,FALSE
1.51,183.05,0.22,0.09,109.24,491352.0,1.0,0.0,0.0,0.0,FALSE
2.0,689.04,0.21,0.08,20.61,490461.0,1.0,0.0,0.0,0.0,FALSE
2.57,158.46,0.15,0.12,126.37,44074.0,1.0,0.0,0.0,0.0,FALSE
2.11,121.68,0.14,0.09,125.76,408007.0,1.0,0.0,0.0,0.0,FALSE
2.24,126.08,0.18,0.2,141.14,159211.0,1.0,0.0,0.0,0.0,FALSE
1.84,695.35,0.21,0.16,74.57,261647.0,1.0,0.0,0.0,0.0,FALSE
1.53,251.81,0.24,0.07,106.92,259423.0,1.0,0.0,0.0,0.0,FALSE
2.24,838.33,0.24,0.18,26.06,396509.0,1.0,0.0,0.0,0.0,FALSE
2.25,207.69,0.19,0.19,157.87,401651.0,1.0,0.0,0.0,0.0,FALSE
1.74,713.1,0.12,0.25,149.68,117651.0,1.0,0.0,0.0,0.0,FALSE
1.76,437.57,0.16,0.2,179.82,464254.0,1.0,0.0,0.0,0.0,FALSE
1.93,325.38,0.12,0.13,84.23,175430.0,1.0,0.0,0.0,0.0,FALSE
2.12,364.49,0.09,0.23,17.41,212182.0,1.0,0.0,0.0,0.0,FALSE
1.98,584.41,0.14,0.16,157.59,397096.0,1.0,0.0,0.0,0.0,FALSE
2.42,153.06,0.09,0.12,89.06,40201.0,1.0,0.0,0.0,0.0,FALSE
2.7,314.23,0.24,0.23,163.95,194477.0,1.0,0.0,0.0,0.0,FALSE
2.01,552.73,0.18,0.17,84.98,376830.0,1.0,0.0,0.0,0.0,FALSE
1.78,162.22,0.23,0.17,99.77,42952.0,1.0,0.0,0.0,0.0,FALSE
2.07,801.73,0.11,0.1,102.7,317508.0,1.0,0.0,0.0,0.0,FALSE
1.51,226.05,0.21,0.08,149.09,69853.0,1.0,0.0,0.0,0.0,FALSE
2.28,277.59,0.16,0.12,80.85,125547.0,1.0,0.0,0.0,0.0,FALSE
2.38,855.19,0.11,0.15,30.94,292279.0,1.0,0.0,0.0,0.0,FALSE
2.58,528.89,0.19,0.13,144.77,314206.0,1.0,0.0,0.0,0.0,FALSE
2.02,186.28,0.16,0.1,42.5,497012.0,1.0,0.0,0.0,0.0,FALSE
2.15,189.29,0.08,0.13,16.28,267659.0,1.0,0.0,0.0,0.0,FALSE
2.16,835.78,0.15,0.18,104.44,92091.0,1.0,0.0,0.0,0.0,FALSE
2.15,824.75,0.14,0.21,67.55,120869.0,1.0,0.0,0.0,0.0,FALSE
1.68,363.41,0.16,0.11,152.71,77326.0,1.0,0.0,0.0,0.0,FALSE
2.13,152.23,0.25,0.1,11.93,444211.0,1.0,0.0,0.0,0.0,FALSE
2.32,556.13,0.15,0.18,87.39,218924.0,1.0,0.0,0.0,0.0,FALSE
1.79,121.87,0.08,0.15,162.17,118494.0,1.0,0.0,0.0,0.0,FALSE
2.34,966.2,0.15,0.09,111.23,443638.0,1.0,0.0,0.0,0.0,FALSE
1.67,427.28,0.11,0.13,50.55,394981.0,1.0,0.0,0.0,0.0,FALSE
2.63,133.97,0.24,0.18,145.96,234127.0,1.0,0.0,0.0,0.0,FALSE
2.18,618.07,0.18,0.11,117.55,263042.0,1.0,0.0,0.0,0.0,FALSE
1.52,603.16,0.23,0.15,106.21,245703.0,1.0,0.0,0.0,0.0,FALSE
2.4,723.29,0.09,0.08,67.71,103031.0,1.0,0.0,0.0,0.0,FALSE
2.36,936.61,0.19,0.18,107.91,134252.0,1.0,0.0,0.0,0.0,FALSE
2.14,110.31,0.09,0.18,122.21,174110.0,1.0,0.0,0.0,0.0,FALSE
2.54,626.44,0.17,0.14,117.8,37139.0,1.0,0.0,0.0,0.0,FALSE
1.97,794.86,0.07,0.23,58.95,78950.0,1.0,0.0,0.0,0.0,FALSE
2.15,530.01,0.1,0.15,12.5,276610.0,1.0,0.0,0.0,0.0,FALSE
2.05,538.87,0.17,0.24,30.53,459685.0,1.0,0.0,0.0,0.0,FALSE
1.84,673.47,0.11,0.16,154.33,369446.0,1.0,0.0,0.0,0.0,FALSE
1.98,724.28,0.12,0.21,58.68,231016.0,1.0,0.0,0.0,0.0,FALSE
1.98,665.74,0.13,0.15,101.25,430208.0,1.0,0.0,0.0,0.0,FALSE
1.88,357.95,0.17,0.16,87.93,83130.0,1.0,0.0,0.0,0.0,FALSE
2.37,896.7,0.11,0.11,45.99,240835.0,1.0,0.0,0.0,0.0,FALSE
1.89,123.39,0.12,0.14,92.48,459611.0,1.0,0.0,0.0,0.0,FALSE
1.5,361.51,0.14,0.17,81.86,9609.0,1.0,0.0,0.0,0.0,FALSE
1.71,889.43,0.24,0.23,62.2,335006.0,1.0,0.0,0.0,0.0,FALSE
1.88,398.55,0.22,0.11,82.26,172787.0,1.0,0.0,0.0,0.0,FALSE
2.28,321.3,0.13,0.18,123.03,403036.0,1.0,0.0,0.0,0.0,FALSE
1.97,712.13,0.17,0.11,97.11,273364.0,1.0,0.0,0.0,0.0,FALSE
2.47,633.29,0.11,0.24,119.01,101151.0,1.0,0.0,0.0,0.0,FALSE
1.6,253.19,0.16,0.17,9.97,21332.0,1.0,0.0,0.0,0.0,FALSE
1.87,266.98,0.1,0.18,7.84,119046.0,1.0,0.0,0.0,0.0,FALSE
1.95,162.89,0.18,0.25,85.82,286713.0,1.0,0.0,0.0,0.0,FALSE
1.96,291.23,0.25,0.24,7.36,35629.0,1.0,0.0,0.0,0.0,FALSE
1.92,105.7,0.08,0.22,24.26,267179.0,1.0,0.0,0.0,0.0,FALSE
1.78,878.33,0.07,0.09,59.84,68393.0,1.0,0.0,0.0,0.0,FALSE
2.58,228.41,0.23,0.22,175.64,140948.0,1.0,0.0,0.0,0.0,FALSE
2.31,731.16,0.21,0.07,170.08,384387.0,1.0,0.0,0.0,0.0,FALSE
1.84,466.64,0.12,0.18,113.19,432474.0,1.0,0.0,0.0,0.0,FALSE
2.51,243.32,0.21,0.11,1.59,46244.0,1.0,0.0,0.0,0.0,FALSE
2.39,722.83,0.13,0.18,48.97,453782.0,1.0,0.0,0.0,0.0,FALSE
2.2,621.38,0.24,0.19,106.66,480400.0,1.0,0.0,0.0,0.0,FALSE
1.96,350.58,0.25,0.1,48.89,354263.0,1.0,0.0,0.0,0.0,FALSE
2.65,606.33,0.22,0.23,159.26,314865.0,1.0,0.0,0.0,0.0,FALSE
1.74,127.79,0.21,0.19,88.52,491161.0,1.0,0.0,0.0,0.0,FALSE
2.34,825.12,0.19,0.22,67.32,175573.0,1.0,0.0,0.0,0.0,FALSE
